city,Total score,Cost,Quality of life score,Internet,Safety,Fun,Walkability,Nightlife,Friendly to foreigners,Freedom of speech,English speaking,Food safety,Places to work from
Bangkok,4.41,1503.0,4,39.0,4.0,4,5,5,5.0,3.0,2,4,5
Chiang-Mai,3.87,1140.0,4,43.0,4.0,3,5,2,3.0,3.0,2,2,5
Kuala-Lumpur,3.12,1356.0,3,67.0,4.0,2,3,2,3.0,3.0,3,4,5
Singapore,2.97,4395.0,4,43.0,5.0,4,5,3,3.0,3.0,5,4,5
George-Town,2.96,1018.0,4,130.0,4.0,3,5,4,5.0,3.0,4,4,4
Makassar,2.96,917.0,3,11.0,5.0,3,5,3,3.0,3.0,2,3,5
Ubud,2.94,1883.0,4,25.0,5.0,5,5,3,4.0,3.0,2,3,5
Ipoh,2.9,1494.0,3,15.0,4.0,3,5,2,3.0,3.0,3,4,5
Medan,2.89,899.0,3,11.0,5.0,3,2,3,3.0,3.0,2,3,5
Hanoi,2.87,1105.0,3,30.0,4.0,2,5,3,3.0,2.0,2,4,5
Da-Nang,2.86,1065.0,3,21.0,4.0,3,5,3,4.0,2.0,2,4,5
Cebu,2.81,1418.0,3,10.0,4.0,4,5,3,4.0,3.0,3,4,5
Ho-Chi-Minh-City,2.8,1050.0,3,20.0,4.0,4,5,4,3.0,2.0,2,4,5
Phnom-Penh,2.65,1177.0,3,8.0,4.0,3,3,2,4.0,3.0,2,3,5
Davao,2.65,1245.0,3,10.0,4.0,4,5,3,5.0,3.0,4,4,5
Jakarta,2.51,1283.0,3,11.0,5.0,4,5,3,3.0,3.0,3,3,5
Pattaya,2.42,1579.0,3,25.0,4.0,4,5,4,5.0,3.0,2,2,5
Bandung,2.35,1069.0,3,11.0,5.0,3,5,2,4.0,3.0,2,3,5
Surabaya,2.33,935.0,3,10.0,5.0,2,5,2,3.0,3.0,2,3,5
Baguio,2.2,1747.0,3,10.0,4.0,2,5,3,,3.0,4,4,2
Manila,2.13,1487.0,3,10.0,3.0,2,5,4,3.0,3.0,4,4,5
Vientiane,1.85,883.0,3,4.0,4.0,2,5,3,5.0,2.0,2,3,5
Yangon,0.5,1090.0,2,7.0,,5,3,2,4.0,,2,4,5
Naypyidaw,0.5,1455.0,2,6.0,,2,5,2,2.0,,2,4,4
